Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Periodo;Total
Total Nacional;Castilla - La Mancha;Cuenca;;1/1/2020;196.139
Total Nacional;Castilla - La Mancha;Cuenca;;1/1/2019;196.329
Total Nacional;Castilla - La Mancha;Guadalajara;;1/1/2020;261.995
Total Nacional;Castilla - La Mancha;Guadalajara;;1/1/2019;257.762
Total Nacional;Castilla - La Mancha;Toledo;;1/1/2020;703.772
Total Nacional;Castilla - La Mancha;Toledo;;1/1/2019;694.844
Total Nacional;Cataluña;;;1/1/2020;7.780.479
Total Nacional;Cataluña;;;1/1/2019;7.675.217
Total Nacional;Cataluña;Barcelona;;1/1/2020;5.743.402
Total Nacional;Cataluña;Barcelona;;1/1/2019;5.664.579
Total Nacional;Cataluña;Girona;;1/1/2020;781.788
Total Nacional;Cataluña;Girona;;1/1/2019;771.044
Total Nacional;Cataluña;Lleida;;1/1/2020;438.517
Total Nacional;Cataluña;Lleida;;1/1/2019;434.930
Total Nacional;Cataluña;Tarragona;;1/1/2020;816.772
Total Nacional;Cataluña;Tarragona;;1/1/2019;804.664
Total Nacional;Comunitat Valenciana;;;1/1/2020;5.057.353
Total Nacional;Comunitat Valenciana;;;1/1/2019;5.003.769
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;1/1/2020;1.879.888
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;1/1/2019;1.858.683
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;1/1/2020;585.590
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;1/1/2019;579.962
Total Nacional;Comunitat Valenciana;Valencia/València;;1/1/2020;2.591.875
Total Nacional;Comunitat Valenciana;Valencia/València;;1/1/2019;2.565.124
Total Nacional;Extremadura;;;1/1/2020;1.063.987
Total Nacional;Extremadura;;;1/1/2019;1.067.710
Total Nacional;Extremadura;Badajoz;;1/1/2020;672.137
Total Nacional;Extremadura;Badajoz;;1/1/2019;673.559
Total Nacional;Extremadura;Cáceres;;1/1/2020;391.850
Total Nacional;Extremadura;Cáceres;;1/1/2019;394.151
Total Nacional;Galicia;;;1/1/2020;2.701.819
Total Nacional;Galicia;;;1/1/2019;2.699.499
Total Nacional;Galicia;Coruña, A;;1/1/2020;1.121.815
Total Nacional;Galicia;Coruña, A;;1/1/2019;1.119.596
Total Nacional;Galicia;Lugo;;1/1/2020;327.946
Total Nacional;Galicia;Lugo;;1/1/2019;329.587
Total Nacional;Galicia;Ourense;;1/1/2020;306.650
Total Nacional;Galicia;Ourense;;1/1/2019;307.651
Total Nacional;Galicia;Pontevedra;;1/1/2020;945.408
Total Nacional;Galicia;Pontevedra;;1/1/2019;942.665
Total Nacional;Madrid, Comunidad de;;;1/1/2020;6.779.888
Total Nacional;Madrid, Comunidad de;;;1/1/2019;6.663.394
Total Nacional;Madrid, Comunidad de;Madrid;;1/1/2020;6.779.888
Total Nacional;Madrid, Comunidad de;Madrid;;1/1/2019;6.663.394
Total Nacional;Murcia, Región de;;;1/1/2020;1.511.251
Total Nacional;Murcia, Región de;;;1/1/2019;1.493.898
Total Nacional;Murcia, Región de;Murcia;;1/1/2020;1.511.251
Total Nacional;Murcia, Región de;Murcia;;1/1/2019;1.493.898
Total Nacional;Navarra, Comunidad Foral de;;;1/1/2020;661.197
Total Nacional;Navarra, Comunidad Foral de;;;1/1/2019;654.214
Total Nacional;Navarra, Comunidad Foral de;Navarra;;1/1/2020;661.197
Total Nacional;Navarra, Comunidad Foral de;Navarra;;1/1/2019;654.214
Total Nacional;País Vasco;;;1/1/2020;2.220.504
Total Nacional;País Vasco;;;1/1/2019;2.207.776
Total Nacional;País Vasco;Araba/Álava;;1/1/2020;333.940
Total Nacional;País Vasco;Araba/Álava;;1/1/2019;331.549
Total Nacional;País Vasco;Bizkaia;;1/1/2020;1.159.443
Total Nacional;País Vasco;Bizkaia;;1/1/2019;1.152.651
Total Nacional;País Vasco;Gipuzkoa;;1/1/2020;727.121
Total Nacional;País Vasco;Gipuzkoa;;1/1/2019;723.576
Total Nacional;Rioja, La;;;1/1/2020;319.914
Total Nacional;Rioja, La;;;1/1/2019;316.798
Total Nacional;Rioja, La;Rioja, La;;1/1/2020;319.914
Total Nacional;Rioja, La;Rioja, La;;1/1/2019;316.798
Total Nacional;Ceuta;;;1/1/2020;84.202
Total Nacional;Ceuta;;;1/1/2019;84.777
Total Nacional;Ceuta;Ceuta;;1/1/2020;84.202
Total Nacional;Ceuta;Ceuta;;1/1/2019;84.777
Total Nacional;Melilla;;;1/1/2020;87.076
Total Nacional;Melilla;;;1/1/2019;86.487
Total Nacional;Melilla;Melilla;;1/1/2020;87.076
Total Nacional;Melilla;Melilla;;1/1/2019;86.487
