Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
Total Nacional;Total;Ambos sexos;2023T2;58,97
Total Nacional;Total;Ambos sexos;2023T1;58,55
Total Nacional;Total;Ambos sexos;2022T4;58,52
Total Nacional;Total;Ambos sexos;2022T3;58,86
Total Nacional;Total;Ambos sexos;2022T2;58,71
Total Nacional;Total;Ambos sexos;2022T1;58,5
Total Nacional;Total;Ambos sexos;2021T4;58,65
Total Nacional;Total;Ambos sexos;2021T3;59,14
Total Nacional;Total;Ambos sexos;2021T2;58,58
Total Nacional;Total;Ambos sexos;2021T1;57,69
Total Nacional;Total;Ambos sexos;2020T4;58,19
Total Nacional;Total;Ambos sexos;2020T3;57,83
Total Nacional;Total;Ambos sexos;2020T2;55,54
Total Nacional;Total;Ambos sexos;2020T1;58,18
Total Nacional;Total;Ambos sexos;2019T4;58,74
Total Nacional;Total;Ambos sexos;2019T3;58,72
Total Nacional;Total;Ambos sexos;2019T2;58,74
Total Nacional;Total;Ambos sexos;2019T1;58,35
Total Nacional;Total;Ambos sexos;2018T4;58,61
Total Nacional;Total;Ambos sexos;2018T3;58,73
Total Nacional;Total;Ambos sexos;2018T2;58,8
Total Nacional;Total;Ambos sexos;2018T1;58,46
Total Nacional;Total;Ambos sexos;2017T4;58,8
Total Nacional;Total;Ambos sexos;2017T3;58,92
Total Nacional;Total;Ambos sexos;2017T2;58,84
Total Nacional;Total;Ambos sexos;2017T1;58,78
Total Nacional;Total;Ambos sexos;2016T4;58,95
Total Nacional;Total;Ambos sexos;2016T3;59,28
Total Nacional;Total;Ambos sexos;2016T2;59,41
Total Nacional;Total;Ambos sexos;2016T1;59,29
Total Nacional;Total;Ambos sexos;2015T4;59,43
Total Nacional;Total;Ambos sexos;2015T3;59,5
Total Nacional;Total;Ambos sexos;2015T2;59,79
Total Nacional;Total;Ambos sexos;2015T1;59,45
Total Nacional;Total;Ambos sexos;2014T4;59,77
Total Nacional;Total;Ambos sexos;2014T3;59,53
Total Nacional;Total;Ambos sexos;2014T2;59,63
Total Nacional;Total;Ambos sexos;2014T1;59,46
Total Nacional;Total;Ambos sexos;2013T4;59,86
Total Nacional;Total;Ambos sexos;2013T3;60,04
Total Nacional;Total;Ambos sexos;2013T2;60
Total Nacional;Total;Ambos sexos;2013T1;60,18
Total Nacional;Total;Ambos sexos;2012T4;60,23
Total Nacional;Total;Ambos sexos;2012T3;60,55
Total Nacional;Total;Ambos sexos;2012T2;60,5
Total Nacional;Total;Ambos sexos;2012T1;60,31
Total Nacional;Total;Ambos sexos;2011T4;60,29
Total Nacional;Total;Ambos sexos;2011T3;60,44
Total Nacional;Total;Ambos sexos;2011T2;60,44
Total Nacional;Total;Ambos sexos;2011T1;60,16
Total Nacional;Total;Ambos sexos;2010T4;60,25
Total Nacional;Total;Ambos sexos;2010T3;60,37
Total Nacional;Total;Ambos sexos;2010T2;60,41
Total Nacional;Total;Ambos sexos;2010T1;60,09
Total Nacional;Total;Ambos sexos;2009T4;59,99
Total Nacional;Total;Ambos sexos;2009T3;60,05
Total Nacional;Total;Ambos sexos;2009T2;60,3
Total Nacional;Total;Ambos sexos;2009T1;60,39
Total Nacional;Total;Ambos sexos;2008T4;60,35
Total Nacional;Total;Ambos sexos;2008T3;60,23
Total Nacional;Total;Ambos sexos;2008T2;60,07
Total Nacional;Total;Ambos sexos;2008T1;59,67
Total Nacional;Total;Ambos sexos;2007T4;59,47
Total Nacional;Total;Ambos sexos;2007T3;59,5
Total Nacional;Total;Ambos sexos;2007T2;59,23
Total Nacional;Total;Ambos sexos;2007T1;58,9
Total Nacional;Total;Ambos sexos;2006T4;58,88
Total Nacional;Total;Ambos sexos;2006T3;58,74
Total Nacional;Total;Ambos sexos;2006T2;58,63
Total Nacional;Total;Ambos sexos;2006T1;58,3
Total Nacional;Total;Ambos sexos;2005T4;58,08
Total Nacional;Total;Ambos sexos;2005T3;57,86
Total Nacional;Total;Ambos sexos;2005T2;57,86
Total Nacional;Total;Ambos sexos;2005T1;57,38
Total Nacional;Total;Ambos sexos;2004T4;57,12
Total Nacional;Total;Ambos sexos;2004T3;56,93
Total Nacional;Total;Ambos sexos;2004T2;56,55
Total Nacional;Total;Ambos sexos;2004T1;56,24
Total Nacional;Total;Ambos sexos;2003T4;56,25
Total Nacional;Total;Ambos sexos;2003T3;56,15
Total Nacional;Total;Ambos sexos;2003T2;55,65
Total Nacional;Total;Ambos sexos;2003T1;55,28
Total Nacional;Total;Ambos sexos;2002T4;54,95
Total Nacional;Total;Ambos sexos;2002T3;54,92
Total Nacional;Total;Ambos sexos;2002T2;54,48
Total Nacional;Total;Ambos sexos;2002T1;54,06
Total Nacional;Total;Hombres;2023T2;63,93
Total Nacional;Total;Hombres;2023T1;63,18
Total Nacional;Total;Hombres;2022T4;63,53
Total Nacional;Total;Hombres;2022T3;64,19
Total Nacional;Total;Hombres;2022T2;63,73
Total Nacional;Total;Hombres;2022T1;63,53
Total Nacional;Total;Hombres;2021T4;63,65
Total Nacional;Total;Hombres;2021T3;64,31
Total Nacional;Total;Hombres;2021T2;63,59
Total Nacional;Total;Hombres;2021T1;62,74
Total Nacional;Total;Hombres;2020T4;63,3
Total Nacional;Total;Hombres;2020T3;63,44
Total Nacional;Total;Hombres;2020T2;61,35
Total Nacional;Total;Hombres;2020T1;63,63
Total Nacional;Total;Hombres;2019T4;64,24
Total Nacional;Total;Hombres;2019T3;64,46
Total Nacional;Total;Hombres;2019T2;64,42
Total Nacional;Total;Hombres;2019T1;63,99
Total Nacional;Total;Hombres;2018T4;64,45
Total Nacional;Total;Hombres;2018T3;64,86
Total Nacional;Total;Hombres;2018T2;64,62
Total Nacional;Total;Hombres;2018T1;64,29
Total Nacional;Total;Hombres;2017T4;64,57
Total Nacional;Total;Hombres;2017T3;65,04
Total Nacional;Total;Hombres;2017T2;64,7
Total Nacional;Total;Hombres;2017T1;64,62
Total Nacional;Total;Hombres;2016T4;64,8
Total Nacional;Total;Hombres;2016T3;65,26
Total Nacional;Total;Hombres;2016T2;65,21
Total Nacional;Total;Hombres;2016T1;65,25
Total Nacional;Total;Hombres;2015T4;65,37
Total Nacional;Total;Hombres;2015T3;65,9
Total Nacional;Total;Hombres;2015T2;65,84
Total Nacional;Total;Hombres;2015T1;65,66
Total Nacional;Total;Hombres;2014T4;65,95
Total Nacional;Total;Hombres;2014T3;66,02
Total Nacional;Total;Hombres;2014T2;65,86
Total Nacional;Total;Hombres;2014T1;65,48
Total Nacional;Total;Hombres;2013T4;66,05
Total Nacional;Total;Hombres;2013T3;66,61
Total Nacional;Total;Hombres;2013T2;66,32
Total Nacional;Total;Hombres;2013T1;66,57
Total Nacional;Total;Hombres;2012T4;66,72
Total Nacional;Total;Hombres;2012T3;67,37
Total Nacional;Total;Hombres;2012T2;67,32
Total Nacional;Total;Hombres;2012T1;66,99
Total Nacional;Total;Hombres;2011T4;67,42
Total Nacional;Total;Hombres;2011T3;67,77
Total Nacional;Total;Hombres;2011T2;67,55
Total Nacional;Total;Hombres;2011T1;67,5
Total Nacional;Total;Hombres;2010T4;67,76
Total Nacional;Total;Hombres;2010T3;68,35
Total Nacional;Total;Hombres;2010T2;68,46
Total Nacional;Total;Hombres;2010T1;68,02
Total Nacional;Total;Hombres;2009T4;68,16
Total Nacional;Total;Hombres;2009T3;68,43
Total Nacional;Total;Hombres;2009T2;68,88
Total Nacional;Total;Hombres;2009T1;69,11
Total Nacional;Total;Hombres;2008T4;69,21
Total Nacional;Total;Hombres;2008T3;69,83
Total Nacional;Total;Hombres;2008T2;69,71
Total Nacional;Total;Hombres;2008T1;69,42
Total Nacional;Total;Hombres;2007T4;69,34
Total Nacional;Total;Hombres;2007T3;69,74
Total Nacional;Total;Hombres;2007T2;69,48
Total Nacional;Total;Hombres;2007T1;69,04
Total Nacional;Total;Hombres;2006T4;69,08
Total Nacional;Total;Hombres;2006T3;69,57
Total Nacional;Total;Hombres;2006T2;69,2
Total Nacional;Total;Hombres;2006T1;69,03
Total Nacional;Total;Hombres;2005T4;69,08
Total Nacional;Total;Hombres;2005T3;69,23
Total Nacional;Total;Hombres;2005T2;69
Total Nacional;Total;Hombres;2005T1;68,67
Total Nacional;Total;Hombres;2004T4;68,37
Total Nacional;Total;Hombres;2004T3;68,54
Total Nacional;Total;Hombres;2004T2;68,05
Total Nacional;Total;Hombres;2004T1;67,83
Total Nacional;Total;Hombres;2003T4;68,07
Total Nacional;Total;Hombres;2003T3;68,23
Total Nacional;Total;Hombres;2003T2;67,72
Total Nacional;Total;Hombres;2003T1;67,41
Total Nacional;Total;Hombres;2002T4;67,26
Total Nacional;Total;Hombres;2002T3;67,47
Total Nacional;Total;Hombres;2002T2;66,9
Total Nacional;Total;Hombres;2002T1;66,69
Total Nacional;Total;Mujeres;2023T2;54,29
Total Nacional;Total;Mujeres;2023T1;54,18
Total Nacional;Total;Mujeres;2022T4;53,79
Total Nacional;Total;Mujeres;2022T3;53,84
Total Nacional;Total;Mujeres;2022T2;53,97
Total Nacional;Total;Mujeres;2022T1;53,75
Total Nacional;Total;Mujeres;2021T4;53,93
Total Nacional;Total;Mujeres;2021T3;54,25
Total Nacional;Total;Mujeres;2021T2;53,83
Total Nacional;Total;Mujeres;2021T1;52,91
Total Nacional;Total;Mujeres;2020T4;53,35
Total Nacional;Total;Mujeres;2020T3;52,53
Total Nacional;Total;Mujeres;2020T2;50,05
Total Nacional;Total;Mujeres;2020T1;53,03
Total Nacional;Total;Mujeres;2019T4;53,53
Total Nacional;Total;Mujeres;2019T3;53,28
Total Nacional;Total;Mujeres;2019T2;53,37
Total Nacional;Total;Mujeres;2019T1;53,02
Total Nacional;Total;Mujeres;2018T4;53,08
Total Nacional;Total;Mujeres;2018T3;52,93
Total Nacional;Total;Mujeres;2018T2;53,29
Total Nacional;Total;Mujeres;2018T1;52,94
Total Nacional;Total;Mujeres;2017T4;53,33
Total Nacional;Total;Mujeres;2017T3;53,13
Total Nacional;Total;Mujeres;2017T2;53,28
Total Nacional;Total;Mujeres;2017T1;53,24
Total Nacional;Total;Mujeres;2016T4;53,41
Total Nacional;Total;Mujeres;2016T3;53,61
Total Nacional;Total;Mujeres;2016T2;53,91
Total Nacional;Total;Mujeres;2016T1;53,64
Total Nacional;Total;Mujeres;2015T4;53,79
Total Nacional;Total;Mujeres;2015T3;53,42
Total Nacional;Total;Mujeres;2015T2;54,03
Total Nacional;Total;Mujeres;2015T1;53,55
Total Nacional;Total;Mujeres;2014T4;53,9
Total Nacional;Total;Mujeres;2014T3;53,35
Total Nacional;Total;Mujeres;2014T2;53,71
Total Nacional;Total;Mujeres;2014T1;53,75
Total Nacional;Total;Mujeres;2013T4;53,96
Total Nacional;Total;Mujeres;2013T3;53,78
Total Nacional;Total;Mujeres;2013T2;53,96
Total Nacional;Total;Mujeres;2013T1;54,07
Total Nacional;Total;Mujeres;2012T4;54,03
Total Nacional;Total;Mujeres;2012T3;54,02
Total Nacional;Total;Mujeres;2012T2;53,97
Total Nacional;Total;Mujeres;2012T1;53,91
Total Nacional;Total;Mujeres;2011T4;53,44
Total Nacional;Total;Mujeres;2011T3;53,4
Total Nacional;Total;Mujeres;2011T2;53,6
Total Nacional;Total;Mujeres;2011T1;53,1
Total Nacional;Total;Mujeres;2010T4;53,01
Total Nacional;Total;Mujeres;2010T3;52,68
Total Nacional;Total;Mujeres;2010T2;52,65
Total Nacional;Total;Mujeres;2010T1;52,45
Total Nacional;Total;Mujeres;2009T4;52,12
Total Nacional;Total;Mujeres;2009T3;51,96
Total Nacional;Total;Mujeres;2009T2;52,01
Total Nacional;Total;Mujeres;2009T1;51,95
Total Nacional;Total;Mujeres;2008T4;51,78
Total Nacional;Total;Mujeres;2008T3;50,95
Total Nacional;Total;Mujeres;2008T2;50,75
Total Nacional;Total;Mujeres;2008T1;50,25
Total Nacional;Total;Mujeres;2007T4;49,94
Total Nacional;Total;Mujeres;2007T3;49,61
Total Nacional;Total;Mujeres;2007T2;49,34
Total Nacional;Total;Mujeres;2007T1;49,13
Total Nacional;Total;Mujeres;2006T4;49,06
Total Nacional;Total;Mujeres;2006T3;48,32
Total Nacional;Total;Mujeres;2006T2;48,46
Total Nacional;Total;Mujeres;2006T1;47,97
Total Nacional;Total;Mujeres;2005T4;47,49
Total Nacional;Total;Mujeres;2005T3;46,93
Total Nacional;Total;Mujeres;2005T2;47,15
Total Nacional;Total;Mujeres;2005T1;46,55
Total Nacional;Total;Mujeres;2004T4;46,34
Total Nacional;Total;Mujeres;2004T3;45,83
Total Nacional;Total;Mujeres;2004T2;45,56
Total Nacional;Total;Mujeres;2004T1;45,17
Total Nacional;Total;Mujeres;2003T4;44,98
Total Nacional;Total;Mujeres;2003T3;44,62
Total Nacional;Total;Mujeres;2003T2;44,15
Total Nacional;Total;Mujeres;2003T1;43,73
Total Nacional;Total;Mujeres;2002T4;43,24
Total Nacional;Total;Mujeres;2002T3;42,99
Total Nacional;Total;Mujeres;2002T2;42,67
Total Nacional;Total;Mujeres;2002T1;42,08
Total Nacional;De 16 a 64 años;Ambos sexos;2023T2;75,84
Total Nacional;De 16 a 64 años;Ambos sexos;2023T1;75,25
Total Nacional;De 16 a 64 años;Ambos sexos;2022T4;75,19
Total Nacional;De 16 a 64 años;Ambos sexos;2022T3;75,59
Total Nacional;De 16 a 64 años;Ambos sexos;2022T2;75,42
Total Nacional;De 16 a 64 años;Ambos sexos;2022T1;75,05
Total Nacional;De 16 a 64 años;Ambos sexos;2021T4;75,2
Total Nacional;De 16 a 64 años;Ambos sexos;2021T3;75,82
Total Nacional;De 16 a 64 años;Ambos sexos;2021T2;75
Total Nacional;De 16 a 64 años;Ambos sexos;2021T1;73,84
Total Nacional;De 16 a 64 años;Ambos sexos;2020T4;74,42
Total Nacional;De 16 a 64 años;Ambos sexos;2020T3;73,95
Total Nacional;De 16 a 64 años;Ambos sexos;2020T2;71,01
Total Nacional;De 16 a 64 años;Ambos sexos;2020T1;74,4
Total Nacional;De 16 a 64 años;Ambos sexos;2019T4;75,13
Total Nacional;De 16 a 64 años;Ambos sexos;2019T3;75,06
Total Nacional;De 16 a 64 años;Ambos sexos;2019T2;75,06
Total Nacional;De 16 a 64 años;Ambos sexos;2019T1;74,6
Total Nacional;De 16 a 64 años;Ambos sexos;2018T4;74,89
Total Nacional;De 16 a 64 años;Ambos sexos;2018T3;75
Total Nacional;De 16 a 64 años;Ambos sexos;2018T2;75,08
Total Nacional;De 16 a 64 años;Ambos sexos;2018T1;74,65
Total Nacional;De 16 a 64 años;Ambos sexos;2017T4;75,07
Total Nacional;De 16 a 64 años;Ambos sexos;2017T3;75,18
Total Nacional;De 16 a 64 años;Ambos sexos;2017T2;75,06
Total Nacional;De 16 a 64 años;Ambos sexos;2017T1;74,96
Total Nacional;De 16 a 64 años;Ambos sexos;2016T4;75,14
Total Nacional;De 16 a 64 años;Ambos sexos;2016T3;75,48
Total Nacional;De 16 a 64 años;Ambos sexos;2016T2;75,52
Total Nacional;De 16 a 64 años;Ambos sexos;2016T1;75,31
Total Nacional;De 16 a 64 años;Ambos sexos;2015T4;75,38
Total Nacional;De 16 a 64 años;Ambos sexos;2015T3;75,42
Total Nacional;De 16 a 64 años;Ambos sexos;2015T2;75,74
Total Nacional;De 16 a 64 años;Ambos sexos;2015T1;75,26
Total Nacional;De 16 a 64 años;Ambos sexos;2014T4;75,6
Total Nacional;De 16 a 64 años;Ambos sexos;2014T3;75,2
Total Nacional;De 16 a 64 años;Ambos sexos;2014T2;75,28
Total Nacional;De 16 a 64 años;Ambos sexos;2014T1;74,98
Total Nacional;De 16 a 64 años;Ambos sexos;2013T4;75,33
Total Nacional;De 16 a 64 años;Ambos sexos;2013T3;75,41
Total Nacional;De 16 a 64 años;Ambos sexos;2013T2;75,2
Total Nacional;De 16 a 64 años;Ambos sexos;2013T1;75,3
Total Nacional;De 16 a 64 años;Ambos sexos;2012T4;75,23
Total Nacional;De 16 a 64 años;Ambos sexos;2012T3;75,5
Total Nacional;De 16 a 64 años;Ambos sexos;2012T2;75,35
Total Nacional;De 16 a 64 años;Ambos sexos;2012T1;75,06
Total Nacional;De 16 a 64 años;Ambos sexos;2011T4;74,94
Total Nacional;De 16 a 64 años;Ambos sexos;2011T3;75,12
Total Nacional;De 16 a 64 años;Ambos sexos;2011T2;75,03
Total Nacional;De 16 a 64 años;Ambos sexos;2011T1;74,61
Total Nacional;De 16 a 64 años;Ambos sexos;2010T4;74,64
Total Nacional;De 16 a 64 años;Ambos sexos;2010T3;74,71
Total Nacional;De 16 a 64 años;Ambos sexos;2010T2;74,66
Total Nacional;De 16 a 64 años;Ambos sexos;2010T1;74,21
Total Nacional;De 16 a 64 años;Ambos sexos;2009T4;73,97
Total Nacional;De 16 a 64 años;Ambos sexos;2009T3;74,01
Total Nacional;De 16 a 64 años;Ambos sexos;2009T2;74,25
Total Nacional;De 16 a 64 años;Ambos sexos;2009T1;74,28
Total Nacional;De 16 a 64 años;Ambos sexos;2008T4;74,18
Total Nacional;De 16 a 64 años;Ambos sexos;2008T3;73,98
Total Nacional;De 16 a 64 años;Ambos sexos;2008T2;73,74
Total Nacional;De 16 a 64 años;Ambos sexos;2008T1;73,25
Total Nacional;De 16 a 64 años;Ambos sexos;2007T4;73,02
Total Nacional;De 16 a 64 años;Ambos sexos;2007T3;73,06
Total Nacional;De 16 a 64 años;Ambos sexos;2007T2;72,78
Total Nacional;De 16 a 64 años;Ambos sexos;2007T1;72,37
Total Nacional;De 16 a 64 años;Ambos sexos;2006T4;72,42
Total Nacional;De 16 a 64 años;Ambos sexos;2006T3;72,24
Total Nacional;De 16 a 64 años;Ambos sexos;2006T2;72,1
Total Nacional;De 16 a 64 años;Ambos sexos;2006T1;71,76
Total Nacional;De 16 a 64 años;Ambos sexos;2005T4;71,47
Total Nacional;De 16 a 64 años;Ambos sexos;2005T3;71,18
Total Nacional;De 16 a 64 años;Ambos sexos;2005T2;71,14
Total Nacional;De 16 a 64 años;Ambos sexos;2005T1;70,53
Total Nacional;De 16 a 64 años;Ambos sexos;2004T4;70,4
Total Nacional;De 16 a 64 años;Ambos sexos;2004T3;70,23
Total Nacional;De 16 a 64 años;Ambos sexos;2004T2;69,78
Total Nacional;De 16 a 64 años;Ambos sexos;2004T1;69,48
Total Nacional;De 16 a 64 años;Ambos sexos;2003T4;69,56
Total Nacional;De 16 a 64 años;Ambos sexos;2003T3;69,46
Total Nacional;De 16 a 64 años;Ambos sexos;2003T2;68,86
Total Nacional;De 16 a 64 años;Ambos sexos;2003T1;68,45
Total Nacional;De 16 a 64 años;Ambos sexos;2002T4;68,12
Total Nacional;De 16 a 64 años;Ambos sexos;2002T3;68,07
Total Nacional;De 16 a 64 años;Ambos sexos;2002T2;67,51
Total Nacional;De 16 a 64 años;Ambos sexos;2002T1;67
Total Nacional;De 16 a 64 años;Hombres;2023T2;79,94
Total Nacional;De 16 a 64 años;Hombres;2023T1;78,92
Total Nacional;De 16 a 64 años;Hombres;2022T4;79,37
Total Nacional;De 16 a 64 años;Hombres;2022T3;80,11
Total Nacional;De 16 a 64 años;Hombres;2022T2;79,57
Total Nacional;De 16 a 64 años;Hombres;2022T1;79,21
Total Nacional;De 16 a 64 años;Hombres;2021T4;79,28
Total Nacional;De 16 a 64 años;Hombres;2021T3;80,12
Total Nacional;De 16 a 64 años;Hombres;2021T2;79,12
Total Nacional;De 16 a 64 años;Hombres;2021T1;78,05
Total Nacional;De 16 a 64 años;Hombres;2020T4;78,7
Total Nacional;De 16 a 64 años;Hombres;2020T3;78,83
Total Nacional;De 16 a 64 años;Hombres;2020T2;76,24
Total Nacional;De 16 a 64 años;Hombres;2020T1;79,07
Total Nacional;De 16 a 64 años;Hombres;2019T4;79,83
Total Nacional;De 16 a 64 años;Hombres;2019T3;80,07
Total Nacional;De 16 a 64 años;Hombres;2019T2;80,01
Total Nacional;De 16 a 64 años;Hombres;2019T1;79,52
Total Nacional;De 16 a 64 años;Hombres;2018T4;80,04
Total Nacional;De 16 a 64 años;Hombres;2018T3;80,48
Total Nacional;De 16 a 64 años;Hombres;2018T2;80,16
Total Nacional;De 16 a 64 años;Hombres;2018T1;79,73
Total Nacional;De 16 a 64 años;Hombres;2017T4;80,09
Total Nacional;De 16 a 64 años;Hombres;2017T3;80,61
Total Nacional;De 16 a 64 años;Hombres;2017T2;80,18
Total Nacional;De 16 a 64 años;Hombres;2017T1;80,04
Total Nacional;De 16 a 64 años;Hombres;2016T4;80,22
Total Nacional;De 16 a 64 años;Hombres;2016T3;80,72
Total Nacional;De 16 a 64 años;Hombres;2016T2;80,54
Total Nacional;De 16 a 64 años;Hombres;2016T1;80,53
Total Nacional;De 16 a 64 años;Hombres;2015T4;80,55
Total Nacional;De 16 a 64 años;Hombres;2015T3;81,18
Total Nacional;De 16 a 64 años;Hombres;2015T2;81
Total Nacional;De 16 a 64 años;Hombres;2015T1;80,71
Total Nacional;De 16 a 64 años;Hombres;2014T4;81,02
Total Nacional;De 16 a 64 años;Hombres;2014T3;80,98
Total Nacional;De 16 a 64 años;Hombres;2014T2;80,72
Total Nacional;De 16 a 64 años;Hombres;2014T1;80,18
Total Nacional;De 16 a 64 años;Hombres;2013T4;80,74
Total Nacional;De 16 a 64 años;Hombres;2013T3;81,25
Total Nacional;De 16 a 64 años;Hombres;2013T2;80,74
Total Nacional;De 16 a 64 años;Hombres;2013T1;80,87
Total Nacional;De 16 a 64 años;Hombres;2012T4;80,92
Total Nacional;De 16 a 64 años;Hombres;2012T3;81,58
Total Nacional;De 16 a 64 años;Hombres;2012T2;81,41
Total Nacional;De 16 a 64 años;Hombres;2012T1;80,96
Total Nacional;De 16 a 64 años;Hombres;2011T4;81,37
Total Nacional;De 16 a 64 años;Hombres;2011T3;81,78
Total Nacional;De 16 a 64 años;Hombres;2011T2;81,42
Total Nacional;De 16 a 64 años;Hombres;2011T1;81,28
Total Nacional;De 16 a 64 años;Hombres;2010T4;81,5
Total Nacional;De 16 a 64 años;Hombres;2010T3;82,09
Total Nacional;De 16 a 64 años;Hombres;2010T2;82,12
Total Nacional;De 16 a 64 años;Hombres;2010T1;81,52
Total Nacional;De 16 a 64 años;Hombres;2009T4;81,51
Total Nacional;De 16 a 64 años;Hombres;2009T3;81,81
Total Nacional;De 16 a 64 años;Hombres;2009T2;82,3
Total Nacional;De 16 a 64 años;Hombres;2009T1;82,49
Total Nacional;De 16 a 64 años;Hombres;2008T4;82,54
Total Nacional;De 16 a 64 años;Hombres;2008T3;83,18
Total Nacional;De 16 a 64 años;Hombres;2008T2;82,95
Total Nacional;De 16 a 64 años;Hombres;2008T1;82,61
Total Nacional;De 16 a 64 años;Hombres;2007T4;82,47
Total Nacional;De 16 a 64 años;Hombres;2007T3;82,98
Total Nacional;De 16 a 64 años;Hombres;2007T2;82,72
Total Nacional;De 16 a 64 años;Hombres;2007T1;82,17
Total Nacional;De 16 a 64 años;Hombres;2006T4;82,33
Total Nacional;De 16 a 64 años;Hombres;2006T3;82,85
Total Nacional;De 16 a 64 años;Hombres;2006T2;82,39
Total Nacional;De 16 a 64 años;Hombres;2006T1;82,29
Total Nacional;De 16 a 64 años;Hombres;2005T4;82,31
Total Nacional;De 16 a 64 años;Hombres;2005T3;82,5
Total Nacional;De 16 a 64 años;Hombres;2005T2;82,18
Total Nacional;De 16 a 64 años;Hombres;2005T1;81,76
Total Nacional;De 16 a 64 años;Hombres;2004T4;81,66
Total Nacional;De 16 a 64 años;Hombres;2004T3;81,94
Total Nacional;De 16 a 64 años;Hombres;2004T2;81,36
Total Nacional;De 16 a 64 años;Hombres;2004T1;81,19
Total Nacional;De 16 a 64 años;Hombres;2003T4;81,55
Total Nacional;De 16 a 64 años;Hombres;2003T3;81,79
Total Nacional;De 16 a 64 años;Hombres;2003T2;81,19
Total Nacional;De 16 a 64 años;Hombres;2003T1;80,85
Total Nacional;De 16 a 64 años;Hombres;2002T4;80,77
Total Nacional;De 16 a 64 años;Hombres;2002T3;81,01
Total Nacional;De 16 a 64 años;Hombres;2002T2;80,33
Total Nacional;De 16 a 64 años;Hombres;2002T1;80,05
Total Nacional;De 16 a 64 años;Mujeres;2023T2;71,76
Total Nacional;De 16 a 64 años;Mujeres;2023T1;71,6
Total Nacional;De 16 a 64 años;Mujeres;2022T4;71,02
Total Nacional;De 16 a 64 años;Mujeres;2022T3;71,08
Total Nacional;De 16 a 64 años;Mujeres;2022T2;71,27
Total Nacional;De 16 a 64 años;Mujeres;2022T1;70,91
Total Nacional;De 16 a 64 años;Mujeres;2021T4;71,13
Total Nacional;De 16 a 64 años;Mujeres;2021T3;71,53
Total Nacional;De 16 a 64 años;Mujeres;2021T2;70,89
Total Nacional;De 16 a 64 años;Mujeres;2021T1;69,62
Total Nacional;De 16 a 64 años;Mujeres;2020T4;70,15
Total Nacional;De 16 a 64 años;Mujeres;2020T3;69,07
Total Nacional;De 16 a 64 años;Mujeres;2020T2;65,78
Total Nacional;De 16 a 64 años;Mujeres;2020T1;69,73
Total Nacional;De 16 a 64 años;Mujeres;2019T4;70,43
Total Nacional;De 16 a 64 años;Mujeres;2019T3;70,05
Total Nacional;De 16 a 64 años;Mujeres;2019T2;70,12
Total Nacional;De 16 a 64 años;Mujeres;2019T1;69,69
Total Nacional;De 16 a 64 años;Mujeres;2018T4;69,73
Total Nacional;De 16 a 64 años;Mujeres;2018T3;69,52
Total Nacional;De 16 a 64 años;Mujeres;2018T2;70
Total Nacional;De 16 a 64 años;Mujeres;2018T1;69,57
Total Nacional;De 16 a 64 años;Mujeres;2017T4;70,04
Total Nacional;De 16 a 64 años;Mujeres;2017T3;69,75
Total Nacional;De 16 a 64 años;Mujeres;2017T2;69,93
Total Nacional;De 16 a 64 años;Mujeres;2017T1;69,87
Total Nacional;De 16 a 64 años;Mujeres;2016T4;70,05
Total Nacional;De 16 a 64 años;Mujeres;2016T3;70,22
Total Nacional;De 16 a 64 años;Mujeres;2016T2;70,48
Total Nacional;De 16 a 64 años;Mujeres;2016T1;70,07
Total Nacional;De 16 a 64 años;Mujeres;2015T4;70,19
Total Nacional;De 16 a 64 años;Mujeres;2015T3;69,64
Total Nacional;De 16 a 64 años;Mujeres;2015T2;70,45
Total Nacional;De 16 a 64 años;Mujeres;2015T1;69,78
Total Nacional;De 16 a 64 años;Mujeres;2014T4;70,16
Total Nacional;De 16 a 64 años;Mujeres;2014T3;69,38
Total Nacional;De 16 a 64 años;Mujeres;2014T2;69,79
Total Nacional;De 16 a 64 años;Mujeres;2014T1;69,74
Total Nacional;De 16 a 64 años;Mujeres;2013T4;69,87
Total Nacional;De 16 a 64 años;Mujeres;2013T3;69,53
Total Nacional;De 16 a 64 años;Mujeres;2013T2;69,61
Total Nacional;De 16 a 64 años;Mujeres;2013T1;69,67
Total Nacional;De 16 a 64 años;Mujeres;2012T4;69,47
Total Nacional;De 16 a 64 años;Mujeres;2012T3;69,33
Total Nacional;De 16 a 64 años;Mujeres;2012T2;69,19
Total Nacional;De 16 a 64 años;Mujeres;2012T1;69,07
Total Nacional;De 16 a 64 años;Mujeres;2011T4;68,41
Total Nacional;De 16 a 64 años;Mujeres;2011T3;68,34
Total Nacional;De 16 a 64 años;Mujeres;2011T2;68,52
Total Nacional;De 16 a 64 años;Mujeres;2011T1;67,8
Total Nacional;De 16 a 64 años;Mujeres;2010T4;67,64
Total Nacional;De 16 a 64 años;Mujeres;2010T3;67,17
Total Nacional;De 16 a 64 años;Mujeres;2010T2;67,03
Total Nacional;De 16 a 64 años;Mujeres;2010T1;66,73
Total Nacional;De 16 a 64 años;Mujeres;2009T4;66,25
Total Nacional;De 16 a 64 años;Mujeres;2009T3;66,02
Total Nacional;De 16 a 64 años;Mujeres;2009T2;66
Total Nacional;De 16 a 64 años;Mujeres;2009T1;65,86
