Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2019;1.463
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2018;1.446
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2017;1.428
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2016;1.412
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2015;1.437
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2014;1.441
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2013;1.452
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2012;1.475
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2011;1.452
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2010;1.455
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2009;1.451
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2008;1.441
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2007;1.411
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2006;1.405
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2005;1.400
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2004;1.395
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2003;1.411
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2002;1.417
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2001;1.424
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;2000;1.416
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;1999;1.414
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;1998;1.413
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;1997;1.407
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;1996;1.432
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;1995;1.422
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Con taxímetro;1994;1.401
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2019;970
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2018;988
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2017;1.029
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2016;1.020
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2015;1.012
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2014;1.008
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2013;1.000
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2012;945
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2011;960
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2010;935
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2009;957
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2008;966
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2007;905
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2006;993
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2005;1.016
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2004;1.017
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2003;989
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2002;1.043
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2001;1.045
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;2000;1.082
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;1999;1.098
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;1998;1.142
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;1997;1.165
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;1996;1.256
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;1995;1.323
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Provincia;Sin taxímetro;1994;1.401
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2019;1.297
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2018;1.297
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2017;1.286
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2016;1.287
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2015;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2014;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2013;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2012;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2011;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2010;1.285
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2009;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2008;1.285
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2007;1.263
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2006;1.256
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2005;1.263
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2004;1.263
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2003;1.281
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2002;1.284
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2001;1.289
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;2000;1.289
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;1999;1.290
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;1998;1.293
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;1997;1.292
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;1996;1.290
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;1995;1.291
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Total;1994;1.291
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2019;1.297
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2018;1.295
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2017;1.286
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2016;1.287
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2015;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2014;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2013;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2012;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2011;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2010;1.285
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2009;1.288
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2008;1.285
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2007;1.263
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2006;1.256
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2005;1.263
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2004;1.263
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2003;1.281
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2002;1.284
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2001;1.289
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;2000;1.289
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;1999;1.290
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;1998;1.293
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;1997;1.292
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;1996;1.290
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;1995;1.291
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Con taxímetro;1994;1.290
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2019;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2018;2
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2017;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2016;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2015;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2014;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2013;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2012;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2011;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2010;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2009;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2008;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2007;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2006;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2005;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2004;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2003;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2002;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2001;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;2000;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;1999;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;1998;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;1997;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;1996;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;1995;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;;Capital de Provincia;Sin taxímetro;1994;1
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2019;129
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2018;130
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2017;128
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2016;127
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2015;132
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2014;138
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2013;137
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2012;140
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2011;140
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2010;140
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2009;143
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2008;137
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2007;131
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2006;138
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2005;131
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2004;127
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2003;122
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2002;127
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2001;136
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;2000;141
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;1999;142
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;1998;145
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;1997;138
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;1996;163
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;1995;164
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Total;1994;178
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2019;58
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2018;54
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2017;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2016;50
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2015;48
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2014;49
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2013;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2012;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2011;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2010;47
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2009;55
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2008;47
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2007;45
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2006;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2005;50
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2004;48
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2003;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2002;50
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2001;48
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;2000;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;1999;51
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;1998;46
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;1997;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;1996;52
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;1995;50
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Con taxímetro;1994;49
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2019;71
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2018;76
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2017;72
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2016;77
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2015;84
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2014;89
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2013;91
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2012;94
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2011;94
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2010;93
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2009;88
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2008;90
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2007;86
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2006;92
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2005;81
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2004;79
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2003;76
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2002;77
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2001;88
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;2000;95
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;1999;91
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;1998;99
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;1997;94
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;1996;111
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;1995;114
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Provincia;Sin taxímetro;1994;129
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2019;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2018;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2017;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2016;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2015;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2014;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2013;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2012;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2011;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2010;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2009;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2008;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2007;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2006;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2005;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2004;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2003;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2002;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2001;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;2000;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;1999;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;1998;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;1997;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;1996;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;1995;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Total;1994;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2019;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2018;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2017;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2016;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2015;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2014;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2013;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2012;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2011;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2010;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2009;44
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2008;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2007;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2006;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2005;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2004;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2003;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2002;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2001;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;2000;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;1999;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;1998;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;1997;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;1996;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;1995;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Con taxímetro;1994;43
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2019;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2018;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2017;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2016;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2015;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2014;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2013;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2012;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2011;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2010;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2009;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2008;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2007;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2006;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2005;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2004;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2003;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2002;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Ávila;Capital de Provincia;Sin taxímetro;2001;0
