Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;;;Capital de Provincia;Total;2004;46.049
TOTAL ESPAÑA;;;Capital de Provincia;Total;2003;45.866
TOTAL ESPAÑA;;;Capital de Provincia;Total;2002;45.957
TOTAL ESPAÑA;;;Capital de Provincia;Total;2001;46.020
TOTAL ESPAÑA;;;Capital de Provincia;Total;2000;45.989
TOTAL ESPAÑA;;;Capital de Provincia;Total;1999;46.150
TOTAL ESPAÑA;;;Capital de Provincia;Total;1998;46.444
TOTAL ESPAÑA;;;Capital de Provincia;Total;1997;46.565
TOTAL ESPAÑA;;;Capital de Provincia;Total;1996;46.777
TOTAL ESPAÑA;;;Capital de Provincia;Total;1995;46.758
TOTAL ESPAÑA;;;Capital de Provincia;Total;1994;46.970
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2019;46.047
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2018;46.179
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2017;46.332
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2016;46.426
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2015;46.604
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2014;46.671
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2013;46.767
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2012;46.638
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2011;46.650
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2010;46.554
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2009;46.572
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2008;46.376
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2007;46.446
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2006;46.231
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2005;46.132
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2004;45.956
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2003;45.775
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2002;45.849
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2001;45.910
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;2000;45.890
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;1999;45.995
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;1998;46.294
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;1997;46.404
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;1996;46.360
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;1995;46.290
TOTAL ESPAÑA;;;Capital de Provincia;Con taxímetro;1994;46.330
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2019;0
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2018;3
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2017;4
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2016;1
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2015;2
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2014;2
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2013;2
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2012;18
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2011;20
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2010;20
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2009;18
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2008;29
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2007;21
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2006;19
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2005;27
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2004;93
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2003;91
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2002;108
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2001;110
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;2000;99
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;1999;155
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;1998;150
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;1997;161
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;1996;417
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;1995;468
TOTAL ESPAÑA;;;Capital de Provincia;Sin taxímetro;1994;640
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2019;9.642
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2018;9.667
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2017;9.742
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2016;9.799
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2015;9.973
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2014;10.055
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2013;10.174
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2012;10.350
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2011;10.257
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2010;10.328
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2009;10.294
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2008;10.307
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2007;10.340
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2006;10.192
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2005;10.140
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2004;10.075
