Comunidades y Ciudades Autónomas;Periodo;Total
03 Asturias, Principado de;1982;8,91
03 Asturias, Principado de;1981;8,74
03 Asturias, Principado de;1980;9,16
03 Asturias, Principado de;1979;8,87
03 Asturias, Principado de;1978;8,62
03 Asturias, Principado de;1977;9,16
03 Asturias, Principado de;1976;8,85
03 Asturias, Principado de;1975;8,91
04 Balears, Illes;2021;7,22
04 Balears, Illes;2020;7,04
04 Balears, Illes;2019;6,67
04 Balears, Illes;2018;6,98
04 Balears, Illes;2017;7,21
04 Balears, Illes;2016;6,94
04 Balears, Illes;2015;7,37
04 Balears, Illes;2014;7
04 Balears, Illes;2013;6,88
04 Balears, Illes;2012;7,31
04 Balears, Illes;2011;7
04 Balears, Illes;2010;7,06
04 Balears, Illes;2009;7,23
04 Balears, Illes;2008;7,08
04 Balears, Illes;2007;7,06
04 Balears, Illes;2006;7,34
04 Balears, Illes;2005;7,71
04 Balears, Illes;2004;7,63
04 Balears, Illes;2003;8,18
04 Balears, Illes;2002;8,21
04 Balears, Illes;2001;8,39
04 Balears, Illes;2000;8,88
04 Balears, Illes;1999;9,15
04 Balears, Illes;1998;8,87
04 Balears, Illes;1997;8,86
04 Balears, Illes;1996;8,78
04 Balears, Illes;1995;9,05
04 Balears, Illes;1994;8,88
04 Balears, Illes;1993;9,21
04 Balears, Illes;1992;9,15
04 Balears, Illes;1991;9,67
04 Balears, Illes;1990;9,54
04 Balears, Illes;1989;9,55
04 Balears, Illes;1988;8,93
04 Balears, Illes;1987;9,18
04 Balears, Illes;1986;9,63
04 Balears, Illes;1985;9,52
04 Balears, Illes;1984;9,06
04 Balears, Illes;1983;9,65
04 Balears, Illes;1982;8,58
04 Balears, Illes;1981;8,26
04 Balears, Illes;1980;8,52
04 Balears, Illes;1979;8,87
04 Balears, Illes;1978;8,9
04 Balears, Illes;1977;9,26
04 Balears, Illes;1976;9,56
04 Balears, Illes;1975;9,83
05 Canarias;2021;7,63
05 Canarias;2020;7,34
05 Canarias;2019;7,1
05 Canarias;2018;7,45
05 Canarias;2017;7,05
05 Canarias;2016;7,02
05 Canarias;2015;7,1
05 Canarias;2014;6,76
05 Canarias;2013;6,46
05 Canarias;2012;6,73
05 Canarias;2011;6,54
05 Canarias;2010;6,23
05 Canarias;2009;6,34
05 Canarias;2008;6,7
05 Canarias;2007;6,68
05 Canarias;2006;6,6
05 Canarias;2005;6,82
05 Canarias;2004;6,85
05 Canarias;2003;6,94
05 Canarias;2002;6,85
05 Canarias;2001;7,07
05 Canarias;2000;7,21
05 Canarias;1999;7,28
05 Canarias;1998;7,19
05 Canarias;1997;6,84
05 Canarias;1996;6,93
05 Canarias;1995;6,57
05 Canarias;1994;6,68
05 Canarias;1993;6,91
05 Canarias;1992;6,75
05 Canarias;1991;6,8
05 Canarias;1990;6,77
05 Canarias;1989;6,82
05 Canarias;1988;6,87
