Comunidades y Ciudades Autónomas;Periodo;Total
17 Rioja, La;1999;10,15
17 Rioja, La;1998;9,51
17 Rioja, La;1997;9,32
17 Rioja, La;1996;9,45
17 Rioja, La;1995;9,55
17 Rioja, La;1994;9,11
17 Rioja, La;1993;9,36
17 Rioja, La;1992;9,23
17 Rioja, La;1991;9,24
17 Rioja, La;1990;9,71
17 Rioja, La;1989;8,82
17 Rioja, La;1988;9,01
17 Rioja, La;1987;8,89
17 Rioja, La;1986;8,65
17 Rioja, La;1985;9,12
17 Rioja, La;1984;8,12
17 Rioja, La;1983;8,19
17 Rioja, La;1982;8,32
17 Rioja, La;1981;8,92
17 Rioja, La;1980;8,7
17 Rioja, La;1979;8,73
17 Rioja, La;1978;8,88
17 Rioja, La;1977;9,32
17 Rioja, La;1976;9,13
17 Rioja, La;1975;9,5
18 Ceuta;2021;8,14
18 Ceuta;2020;7,72
18 Ceuta;2019;6,36
18 Ceuta;2018;6,3
18 Ceuta;2017;6,59
18 Ceuta;2016;6
18 Ceuta;2015;5,97
18 Ceuta;2014;6,02
18 Ceuta;2013;6,28
18 Ceuta;2012;5,78
18 Ceuta;2011;6,21
18 Ceuta;2010;6,65
18 Ceuta;2009;7,07
18 Ceuta;2008;6,56
18 Ceuta;2007;7,2
18 Ceuta;2006;6,54
18 Ceuta;2005;6,88
18 Ceuta;2004;6,86
18 Ceuta;2003;6,96
18 Ceuta;2002;7,18
18 Ceuta;2001;6,4
18 Ceuta;2000;6,35
18 Ceuta;1999;7,03
18 Ceuta;1998;7,47
18 Ceuta;1997;7,07
18 Ceuta;1996;7,34
18 Ceuta;1995;6,49
18 Ceuta;1994;6,87
18 Ceuta;1993;6,64
18 Ceuta;1992;6,75
18 Ceuta;1991;7,19
18 Ceuta;1990;7,44
18 Ceuta;1989;7,3
18 Ceuta;1988;6,63
18 Ceuta;1987;6,52
18 Ceuta;1986;7,07
18 Ceuta;1985;7,41
18 Ceuta;1984;6,77
18 Ceuta;1983;6,73
18 Ceuta;1982;7,6
18 Ceuta;1981;7,33
18 Ceuta;1980;7,84
18 Ceuta;1979;8,13
18 Ceuta;1978;8,03
18 Ceuta;1977;7,34
18 Ceuta;1976;8,06
18 Ceuta;1975;7,45
19 Melilla;2021;6,76
19 Melilla;2020;7,14
19 Melilla;2019;5,82
19 Melilla;2018;6,1
19 Melilla;2017;5,82
19 Melilla;2016;5,74
19 Melilla;2015;6,09
19 Melilla;2014;5,77
19 Melilla;2013;5,51
19 Melilla;2012;5,7
19 Melilla;2011;5,95
19 Melilla;2010;5,26
19 Melilla;2009;5,38
19 Melilla;2008;6,3
19 Melilla;2007;6,18
19 Melilla;2006;6,68
19 Melilla;2005;6,24
19 Melilla;2004;7,04
19 Melilla;2003;6,99
19 Melilla;2002;6,81
19 Melilla;2001;6,03
19 Melilla;2000;6,51
19 Melilla;1999;6,26
19 Melilla;1998;7,08
19 Melilla;1997;6,64
19 Melilla;1996;6,31
19 Melilla;1995;6,59
19 Melilla;1994;7,19
19 Melilla;1993;6,25
19 Melilla;1992;5,58
19 Melilla;1991;6,29
19 Melilla;1990;6,57
19 Melilla;1989;7,02
19 Melilla;1988;7,49
19 Melilla;1987;6,25
19 Melilla;1986;6,81
19 Melilla;1985;6,86
19 Melilla;1984;6,99
19 Melilla;1983;6,63
19 Melilla;1982;7,2
19 Melilla;1981;6,58
19 Melilla;1980;7,09
19 Melilla;1979;7,62
19 Melilla;1978;7,74
19 Melilla;1977;6,61
19 Melilla;1976;6,88
19 Melilla;1975;7,19
