fecha,tm_min,tm_mes,tm_max,p_mes,np_001
2022-1,2.6,7.1,11.6,12.3,2.0
2022-2,5.2,10.2,15.1,8.7,5.0
2022-3,6.7,10.0,13.3,,17.0
2022-4,7.5,12.9,18.2,62.7,12.0
2022-5,14.2,20.6,26.9,6.2,4.0
2022-6,18.1,24.8,31.3,0.3,2.0
2022-7,22.4,29.6,36.8,9.8,2.0
2022-8,21.4,27.9,34.3,4.9,3.0
2022-9,16.1,21.5,26.8,43.9,8.0
2022-10,14.1,18.5,22.9,27.8,10.0
2022-11,11.5,13.9,17.3,45.4,16.0
2022-12,6.9,9.4,11.8,145.4,16.0
